global_prod_id,product_name
P0408,توتافيت 20ق/ايجيفار
P0409,ليمتلس الزايم ماكس 20ق س ج/ايفا
P0410,ثايمى شراب 120 ملى جديد (اولفنت
P0411,برونكوفين شراب 125مل س ج/ابيكو
P0412,كيوتاكورت كريم 15جم/سيد
P0413,موتينورم شراب(5مج/5مل)125مل س ج/جلاكسو
P0414,ارثينور 10ك/ايجيفار
P0415,بروباميثون كريم 20جم س ج/المجموعة
P0416,فاركوتيليام10مج 24ك/فاركو
P0417,ابيكوسيللين 500مج 16ك/ابيكو
P0418,ترافونورم 0.004% قطرة 5مل/اوركيديا
P0419,توبرين 0.3 % قطرة 5مل س ج/ابيكو
P0420,ازاثيوبرين 50مج 30ق/ايفا
P0421,نودى سبراي س ج
P0422,تيابرايد نقط س ج
P0423,ميديهيالو 30جم كريم موضعي
P0424,سفترياكسون 500مج(عضل)فيال س ج/ساندوز
P0425,رانى اف 150مج فوار 6أكياس س ج/فاركو
P0426,فيتاترون3شريط  س ق/نرهادو
P0427,ترايكتين 4مج 20ق س ج/القاهرة
P0428,جاست ريج 3امبول(50م/5مل) س ج/ثلاجة/امون
P0429,كلاجون فوار 10أكياس س ج/ميباكو
P0430,سيردالود 4مج 20ق  س ق/نوفارتس
P0431,برونكو برو نقط 30مل س ق/اكتوبر
P0432,اوتوكورت نقط أذن 10مل س ج/هاى فارم
P0433,ثيروكاربين 5 مجم 100 قرص  بديل كاربيمازول س ج
P0434,ديكساترول قطرة عين/أذن 5مل س ج/ابيكو
P0435,سينوبريل 5مج 30ق س ج/جلوبال نابي
P0436,نيوروجلوبنتين 400مج30ك س ج/جلوبال نابى
P0437,سيداتوس شراب  س ق بديل نوتوسيل
P0438,بكتيكلور 250مج شراب 60مل س ج/رانبكسى
P0439,فيتامين هـ 400مج 24ك س ج/فاركو
P0440,هيرم برو 10ملجم اقراص/سبا
P0441,سبازموبيرالجين3شريط
P0442,البافيت حديد شراب 60مل  س ق/ابيكس
P0443,بيتولفكس 2سرنجة معدة للحقن س ج/مينا فارم
P0444,ريكوكسيترو120 مجم اقراص
P0445,ايزيس ينسون /ايزيس
P0446,ديكسافلوكس قطرة 5مل س ق/جمجوم
P0447,كو تارج  12.5/80مج 14ق س ق/نوفارتس
P0448,بيتولفكس 1مج 2امبول س ق/مينا فارم
P0449,نانازوكسيد 500مج 18ق س ج/يوتوبيا
P0450,نيوروفيت30ق س ج/العامرية
P0451,نيكسيكيور40مجم20قرص/زيتا
P0452,داونوبرازول 40مجم 7كيس س ج/يوتوبيا
P0453,نت لوك 20مج 20ك/الاندلس
P0454,فيناكسان 500مج 5ق/سيديكو
P0455,سيبروسين 0.3% قطرة 5مل  س ق/ابيكو
P0456,كو ابروفيل12.5/300مج14ق/سانوفي
P0457,فلوموسيل 600 فوار
P0458,ريباريل ان  جل  40جم س ج/سيد
P0459,سويتال برطمان 250جم س ج
P0460,ايزابريل 20مج (عادي) 20ق س ج/ابيكس
P0461,جولد فيم فوم 150مل  س ق/ماكرو
P0462,نيفيلوب بلاس 5/12.5مج 20ق س ج/ماركيرل
P0463,ازماكاست 10مج 30ق س ج/ساندوز##
P0464,ابيسيفين 1جم عضل فيال  س ج/ايبيكو
P0465,جليمت فورت 800/5مج 30ق/ماركيرل
P0466,سبازيولانس ق س ج
P0467,سيكلوفلكس5م اقراص
P0468,ايتوركوركس 30 مج اقراص
P0469,جينوزول 2% كريم مهبلي40جم  س ج/فاركو
P0470,لاكريترز قطره  س ق/راميدا
P0471,اوبتيبرد 1% قطرة 5مل/جمجوم/مالتي
P0472,الفانوفا بلس قطرة/اوركيديا
P0473,تارج 80مج 14ق س ج/نوفارتس
P0474,كولوفيرين أ 30ق س ج/كيميفارم
P0475,اوميجا 3 بلس30ك س ج /سيديكو##
P0476,فاستاريل ام ار 30ق س ج/سيرفييه
P0477,سيربروماب200مج 30ك س ج/ابيكس
P0478,كريستور20مج 28ق  س ج/استرازينيكا
P0479,هيبامارين 140مج 30ك/يونيفارم
P0480,باريت 20مج 14ق س ج/سوفيكو
P0481,جافسكون ادفانس 24كيس س ج/المتحده
P0482,اكتوفنت سى ار  4مج 20ق/اكتوبر
P0483,نوجرافيدا 100مج 12قمع مهبلى/الدبيكى
P0484,ميوكو شراب س ج
P0485,بلسم شراب اطفال 120مل/سيجما
P0486,بلسم شراب كبار 120مل/سيجما
P0487,ازموراب 20 مجم 10 اكياس
P0488,ليفاجول 450مج 20ك س ج/ماركيرل
P0489,شاى ريجيم رويال 25 كيس صغير  س ق
P0490,ستارفيل بلية عطر شرقى بنى 60مل س ج
